EilatYam
Date,Time,Temp,Humidity,Absolute,Barometric,Solar,Wind,Wind,Wind,Level,Temp,PAR,UV
02/08/15,13:00,34.2,38,14.5,1004.3,795,47,5,7.6,-7.6,27.1,1568,106
02/08/15,14:00,36.1,32,13,1004,661,51,2.9,4.8,-19.4,27.3,1302,87
02/08/15,15:00,37.8,26,11.8,1003.4,447,63,2,5.3,-18.9,27.6,876,58
02/08/15,16:00,36.4,30,12.5,1003.2,436,214,3.6,6,-7.3,27.6,821,50
02/08/15,17:00,35.9,29,11.9,1003.1,241,217,4.5,6.1,14.5,27.6,447,27
02/08/15,18:00,37.2,26,11.4,1003.1,64,213,2.2,5,39.6,27.4,126,8
02/08/15,19:00,33.1,42,14.8,1003.9,4,216,2.5,4.9,62,27.1,10,1
02/08/15,20:00,37.8,21,9.2,1004.4,0,227,2.4,4.7,74.6,27.1,0,0
02/08/15,21:00,36.7,26,10.9,1005,0,347,1.8,6.5,76.3,27.2,0,0
02/08/15,22:00,34.1,34,12.8,1005.8,0,359,1.3,2.4,68.8,27,0,0
02/08/15,23:00,36.5,25,10.6,1005.4,0,312,2.8,7.3,50.4,26.9,0,0
02/08/15,24:00,35.3,27,10.9,1005.1,0,344,.9,5,28.3,26.9,0,0
03/08/15,01:00,34.5,36,13.2,1004.7,0,269,1.9,5.9,4.2,26.8,0,0
03/08/15,02:00,35.4,29,11.4,1004.3,0,337,1.4,3.1,-13,26.9,0,0
03/08/15,03:00,36.5,29,12.5,1004.5,0,303,2.7,7.6,-14.8,26.9,0,0
03/08/15,04:00,34.2,37,13.8,1004.8,0,12,2.8,7.9,-3.1,26.7,0,0
03/08/15,05:00,32.5,41,14.3,1005.3,0,27,1.6,4.1,17.4,26.7,1,0
03/08/15,06:00,32.4,48,16.4,1005.7,30,34,3.9,5.4,40.8,26.8,61,4
03/08/15,07:00,31.7,51,17,1006,86,35,4.5,6.3,62,26.7,182,12
03/08/15,08:00,31.9,51,16.9,1006.2,241,40,4.9,6.5,73.9,26.8,475,29
03/08/15,09:00,31.6,53,17.5,1006.3,544,42,5.8,6.9,74.8,26.8,1018,60
03/08/15,10:00,32.9,47,16.6,1006,716,42,6.3,7.9,68.1,26.7,1346,86
03/08/15,11:00,33.8,43,16,1005.5,750,45,5.8,7.4,50.3,27,1455,98
03/08/15,12:00,34.9,40,15.5,1005,782,44,5,6.2,26.7,27.3,1543,108
03/08/15,13:00,36.6,33,13.9,1004.4,822,54,3.2,5.4,2.6,27.5,1621,114
03/08/15,14:00,38,25,11.7,1003.7,765,128,.8,3.2,-19.9,28.1,1503,103
03/08/15,15:00,36.9,30,13,1003.2,660,213,3.5,6.3,-28.3,28.4,1264,83
03/08/15,16:00,36.4,30,12.6,1002.9,492,217,4,5.3,-20.8,28.2,912,56
03/08/15,17:00,38.1,22,10.4,1002.6,300,219,2.9,4.9,-6.7,28.2,541,31
03/08/15,18:00,35.8,30,12.3,1003,96,212,1.3,2.5,23.9,27.5,188,11
03/08/15,19:00,39.2,14,6.7,1003.6,8,221,1,2.4,47.9,27.3,19,1
03/08/15,20:00,39.1,13,6.4,1004,0,226,.7,2,66.1,27.1,0,0
03/08/15,21:00,38.3,18,8.4,1004.2,0,278,1.2,4.7,76,27.3,0,0
03/08/15,22:00,37.5,26,11.4,1004.8,0,11,1.8,4.9,77.2,27.2,0,0
03/08/15,23:00,35.3,28,11.1,1005.1,0,11,1.1,4.6,66.2,26.9,0,0
03/08/15,24:00,36.4,28,11.6,1005,0,345,2.5,5.7,45.5,27,0,0
04/08/15,01:00,36,28,11.5,1004.8,0,337,2.3,5.2,20.5,27.1,0,0
04/08/15,02:00,34.8,31,11.9,1004.6,0,339,2.3,6.1,-3,27.1,0,0
04/08/15,03:00,34.8,31,12.2,1004.6,0,327,4,6.9,-14.8,26.9,0,0
04/08/15,04:00,34,34,12.7,1004.9,0,324,3.5,8.1,-15.2,26.9,0,0
04/08/15,05:00,32,43,14.5,1005.4,0,27,3.3,5.4,-2.9,26.8,0,0
04/08/15,06:00,31.1,48,15.3,1005.9,25,33,2.8,4.4,18.1,26.8,56,3
04/08/15,07:00,30.9,51,16.3,1006.3,133,40,5.1,6.5,42,26.8,278,14
04/08/15,08:00,31.2,52,16.8,1006.6,308,38,5.8,8.2,61.5,27,600,30
04/08/15,09:00,31.2,54,17.4,1006.6,492,46,6.4,8.1,68.7,27.3,921,51
04/08/15,10:00,31.5,54,17.5,1006.5,646,48,6.5,8.3,67.7,27.3,1218,73
04/08/15,11:00,32.2,51,17.4,1006.2,732,46,6.5,8.3,57.7,27.4,1406,90
04/08/15,12:00,33,48,17.2,1005.5,780,48,6.3,8.5,40.5,27.6,1538,104
04/08/15,13:00,34.5,42,15.9,1004.9,769,45,6.5,8.7,18.5,27.7,1517,103
04/08/15,14:00,36.2,35,14.8,1004.1,711,46,7.3,9.1,-2.6,27.9,1399,94
04/08/15,15:00,36.4,35,14.8,1003.5,605,42,7.2,9.7,-17,28,1171,75
04/08/15,16:00,36.7,34,14.9,1002.9,447,46,6.2,8.5,-22.3,28,846,51
04/08/15,17:00,38.2,30,13.6,1002.6,264,33,4.2,7.2,-15.9,28,485,27
04/08/15,18:00,41.8,17,9.5,1002.6,89,342,2.8,7.7,.1,27.9,171,10
04/08/15,19:00,40.7,18,9.7,1003.1,6,353,3.8,7.6,25,27.9,16,1
04/08/15,20:00,39.6,20,10.2,1003.7,0,339,4.1,8.2,48.7,27.8,0,0
04/08/15,21:00,38.5,23,10.8,1004.4,0,336,4.8,9.1,64.7,27.6,0,0
04/08/15,22:00,37.7,24,10.9,1004.9,0,329,4.6,8.3,76.2,27.4,0,0
04/08/15,23:00,37,25,10.9,1005.2,0,332,4.2,7.7,71.4,27.4,0,0
04/08/15,24:00,36.1,25,10.4,1005.2,0,338,4.2,7.8,57.3,27.3,0,0
05/08/15,01:00,35.9,22,9,1004.7,0,328,4.8,8.1,39,27.2,0,0
05/08/15,02:00,35.3,24,9.5,1004.6,0,332,3.6,9.2,18.7,27,0,0
05/08/15,03:00,34.4,28,10.6,1004.8,0,324,4,7.3,.1,26.9,0,0
05/08/15,04:00,33.8,27,10,1005.1,0,326,3.9,7.4,-10.7,26.9,0,0
05/08/15,05:00,33.2,26,9.4,1005.8,0,330,4.9,8.4,-10.7,26.9,0,0
05/08/15,06:00,32.3,30,10.2,1006.6,26,330,4.2,8.3,.5,26.8,60,4
05/08/15,07:00,32.7,28,9.8,1007.2,135,348,3.8,8,19.5,27,297,15
05/08/15,08:00,33.1,29,10.3,1007.4,329,11,4,7.7,42,27,650,35
05/08/15,09:00,32.4,37,12.8,1007.4,536,42,5,7.7,58.7,27,1006,59
05/08/15,10:00,31.6,47,15.7,1007.2,688,54,6,7.7,67.8,27.1,1301,82
05/08/15,11:00,32.3,46,15.7,1006.9,767,50,6.2,8.4,68,27.4,1494,101
05/08/15,12:00,33.1,42,15.1,1006.1,797,54,5,6.7,54.8,27.8,1581,111
05/08/15,13:00,33.7,41,15,1005.2,788,56,4,6.5,36.8,27.9,1572,112
05/08/15,14:00,33.8,42,15.4,1004.5,732,58,3.2,5.1,14.6,28.1,1451,101
05/08/15,15:00,36.2,31,12.9,1003.6,626,47,5,7.6,-6.4,28.4,1208,80
05/08/15,16:00,39.3,20,9.4,1003.1,480,28,3.8,9,-16.4,28.4,896,56
05/08/15,17:00,41.8,12,6.7,1002.6,280,1,3.2,8,-18.7,28.3,507,30
05/08/15,18:00,41.2,13,6.9,1002.6,82,348,3.6,8.8,-9.4,28.1,159,10
05/08/15,19:00,40.3,14,7,1003.1,6,345,4.1,8,7.6,28,16,1
05/08/15,20:00,39.8,14,7.1,1003.5,0,329,3,7,29.7,27.8,0,0
05/08/15,21:00,39.4,14,7.2,1004.2,0,347,3,8,54,27.6,0,0
05/08/15,22:00,36.3,27,11.2,1005.2,0,339,5.1,10.5,70.7,27.3,0,0
05/08/15,23:00,35,28,10.9,1005.8,0,340,4.8,8.5,78,27.1,0,0
05/08/15,24:00,34,28,10.6,1006.3,0,341,4.9,8.6,77.4,26.9,0,0
06/08/15,01:00,33.4,28,10.4,1006.1,0,331,5.6,9.2,56.8,27.3,0,0
06/08/15,02:00,33.2,28,10.1,1005.9,0,357,4,8.2,35.4,27.2,0,0
06/08/15,03:00,32.7,29,10.2,1006.3,0,12,3.1,7.2,14,27.4,0,0
06/08/15,04:00,32.1,30,10.2,1006.3,0,10,1.9,3.3,-1.1,27.3,0,0
06/08/15,05:00,31.7,31,10.3,1006.5,0,7,2.1,3.3,-9,27.2,0,0
06/08/15,06:00,30.1,43,13.1,1006.9,24,18,1.4,3.5,-6.9,27.2,64,4
06/08/15,07:00,29.7,42,12.5,1007.3,143,32,2.8,4.1,4.4,27.2,343,18
06/08/15,08:00,30.5,39,12.2,1007.1,374,38,2.9,4.1,21,27.3,741,42
06/08/15,09:00,30.3,48,14.6,1006.8,606,49,3.5,5.8,40.6,27.3,1126,70
06/08/15,10:00,31.7,38,12.7,1006.6,767,51,5.4,6.5,56.1,27.5,1436,96
06/08/15,11:00,33,30,10.8,1006.4,851,51,5.5,6.9,65.1,27.6,1644,120
06/08/15,12:00,34,28,10.4,1005.9,890,56,5.4,7.2,65.8,27.7,1746,134
06/08/15,13:00,35.1,25,9.9,1005,868,57,5.8,7.8,54.6,27.9,1730,135
06/08/15,14:00,35,28,11,1004.2,806,53,3.2,8.9,35.8,28,1596,121
06/08/15,15:00,38.3,17,7.7,1003.6,705,15,3.5,10.9,17.8,28.1,1356,99
06/08/15,16:00,41,9,5,1003.7,555,333,3.1,8.9,-.2,28.1,1022,70
06/08/15,17:00,40.4,10,5,1003.9,356,352,3.8,8.6,-10.3,28.1,628,38
06/08/15,18:00,39.5,9,4.6,1004.4,100,353,4.4,10,-11,28,193,13
06/08/15,19:00,38.5,12,5.5,1004.6,4,342,3.6,10.2,-.4,27.5,16,1
06/08/15,20:00,37.6,13,5.9,1005.2,0,344,4.4,10.2,16.5,27.3,0,0
06/08/15,21:00,36.4,19,8.1,1006.2,0,344,4.9,11.4,36.1,27.1,0,0
06/08/15,22:00,35.3,22,8.8,1007,0,7,3.7,9,55.6,27,0,0
06/08/15,23:00,34.3,21,7.9,1007.6,0,14,3,6.4,67.5,27,0,0
06/08/15,24:00,33.9,14,5.3,1007.6,0,4,3.3,7.1,71,26.9,0,0
07/08/15,01:00,33.4,14,4.9,1007.4,0,335,3.1,6.6,63.1,27,0,0
07/08/15,02:00,31.1,29,9,1007.2,0,20,2.6,5.5,49.8,27.1,0,0
07/08/15,03:00,28.9,36,10.2,1007.4,0,15,1.6,3.6,30.8,27.2,0,0
07/08/15,04:00,29,30,8.6,1007.4,0,33,2.2,3.6,11,27.2,0,0
07/08/15,05:00,27.3,52,13.5,1007.5,0,37,3.4,4.5,-3.3,27.2,0,0
07/08/15,06:00,27.7,46,12.3,1007.7,32,39,2.8,4,-12,27.2,87,5
07/08/15,07:00,27.5,52,13.9,1007.9,161,41,4,4.7,-10.1,27.1,416,20
07/08/15,08:00,27.9,55,15,1007.9,410,37,3.5,4.6,.4,27.1,808,46
07/08/15,09:00,29.2,50,14.6,1007.9,637,48,3.6,4.6,14.1,27.2,1173,74
07/08/15,10:00,31.6,28,9.2,1007.9,785,47,3.4,4.9,28.6,27.4,1466,100
07/08/15,11:00,34,18,6.8,1007.7,863,48,1.6,2.3,41.7,27.5,1660,122
07/08/15,12:00,35.1,18,7.2,1007.2,882,55,1.5,8.3,50.5,27.6,1736,134
07/08/15,13:00,36.8,20,8.5,1006.7,861,45,8.1,11.7,46.8,28.2,1714,135
07/08/15,14:00,37.5,18,8.2,1006.3,789,45,8,10.6,38.8,28.3,1565,118
07/08/15,15:00,38.1,17,7.8,1006,678,41,7,10.2,26.3,28.2,1313,94
07/08/15,16:00,38.3,17,8.1,1005.7,517,44,5.5,9.5,8.2,28.4,967,65
07/08/15,17:00,38,18,8,1005.6,325,42,5.4,7.5,-5.8,28.2,586,35
07/08/15,18:00,39.9,12,6.2,1005.5,95,26,4.5,7.3,-15,28.1,183,12
07/08/15,19:00,40.3,11,5.6,1005.8,5,20,3.9,7.2,-18.6,28,16,1
07/08/15,20:00,40.2,11,5.7,1006.2,0,0,2.7,4.7,-12.5,27.9,0,0
07/08/15,21:00,39.9,11,5.6,1006.8,0,352,2.6,4.9,3.9,27.9,0,0
07/08/15,22:00,35.1,29,10.7,1006.8,0,25,2.5,4.8,23.4,27.8,0,0
07/08/15,23:00,32.7,35,11.9,1007.1,0,35,2.2,8.5,35,27.8,0,0
07/08/15,24:00,36.1,21,8.4,1007,0,28,4.2,7.7,46.6,27.7,0,0
08/08/15,01:00,31.4,37,11.9,1007.4,0,25,2.8,5.1,54.1,27.6,0,0
08/08/15,02:00,31.5,34,11.2,1007.3,0,28,2.7,4.7,50.8,27.6,0,0
08/08/15,03:00,31.3,36,11.5,1007.4,0,35,3.5,5.1,40,27.6,0,0
08/08/15,04:00,32.9,26,9.4,1007.7,0,38,4.9,6.2,24.6,27.5,0,0
08/08/15,05:00,32.3,28,9.6,1008.1,0,36,4.7,5.9,9.1,27.4,0,0
08/08/15,06:00,31.3,34,11,1008.6,29,34,4.2,5.6,-5,27.4,78,4
08/08/15,07:00,32.6,27,9.5,1009.4,153,32,5.5,8.4,-15,27.3,388,19
08/08/15,08:00,32.1,32,11,1009.8,400,38,7.1,8.7,-16.1,27.3,784,45
08/08/15,09:00,32.5,33,11.5,1010,630,39,7.3,8.7,-10.6,27.4,1162,74
08/08/15,10:00,34.1,28,10.3,1009.8,789,42,7.5,9.1,.1,27.4,1470,101
08/08/15,11:00,35.2,25,10.1,1009.3,876,46,6.5,8.3,14,27.6,1679,125
08/08/15,12:00,37.1,19,8.4,1008.5,907,51,5.5,6.9,29,27.7,1772,139
08/08/15,13:00,38.4,16,7.3,1007.9,873,64,4,5.4,40,27.9,1742,139
08/08/15,14:00,37.9,19,8.4,1007.3,800,118,1.8,3.6,36.8,28.4,1592,122
08/08/15,15:00,39.2,14,6.6,1006.8,682,211,1.6,2.6,33.3,28.2,1325,96
08/08/15,16:00,38.6,18,8.8,1006.4,518,133,2.9,7.4,23.3,28.3,971,66
08/08/15,17:00,39.2,18,8.9,1006.2,321,39,6.5,9.8,6.5,28.5,576,35
08/08/15,18:00,38.7,20,9.3,1006.1,91,34,5.8,8.7,-6.6,28.3,176,12
08/08/15,19:00,41.6,11,5.9,1006.5,5,17,3.9,7.2,-13.8,28.2,15,1
08/08/15,20:00,41.4,10,5.5,1007.1,0,9,2.7,5.7,-16.1,28.1,0,0
08/08/15,21:00,40.6,12,6,1007.8,0,358,3.2,9.7,-12.2,28.1,0,0
08/08/15,22:00,38.8,17,8.2,1008.3,0,15,5.4,10.1,-2,28,0,0
08/08/15,23:00,37.8,21,9.4,1008.6,0,360,5.5,11.2,12,27.9,0,0
08/08/15,24:00,36.7,22,9.4,1008.6,0,15,4.7,10.2,27.6,27.6,0,0
09/08/15,01:00,35.3,24,9.8,1008.8,0,32,2.2,5.3,42.1,27.5,0,0
09/08/15,02:00,33.9,29,10.8,1008.9,0,48,2.4,5.8,46.3,27.7,0,0
09/08/15,03:00,33.5,28,10.1,1009.1,0,41,3.4,6.4,43.2,27.6,0,0
09/08/15,04:00,33.8,24,9,1009.5,0,29,2.4,6.6,34.8,27.6,0,0
09/08/15,05:00,33.4,25,8.9,1009.9,0,16,3.4,7.2,24.3,27.4,0,0
09/08/15,06:00,29.4,43,12.4,1010.6,29,53,5.3,7.6,10.7,27.3,79,4
09/08/15,07:00,29.9,44,13.1,1010.9,153,18,2.7,6.4,-2.8,27.3,395,19
09/08/15,08:00,30.4,42,13.1,1010.9,402,33,5.5,8.1,-12.6,27.3,792,45
09/08/15,09:00,31.1,40,13,1011,627,37,5.8,7.3,-16.2,27.3,1161,73
09/08/15,10:00,32.3,36,12.4,1010.7,778,50,6.5,8.3,-12.4,27.4,1463,100
09/08/15,11:00,34.9,26,10.3,1010.1,857,50,7.6,9.3,-2.9,27.5,1657,122
09/08/15,12:00,36.6,22,9.3,1009.5,883,44,7.4,10.1,10.4,27.6,1745,135
09/08/15,13:00,36.9,22,9.5,1008.8,852,47,8.2,10.7,24.2,27.8,1720,136
09/08/15,14:00,37.1,22,9.9,1008.1,790,45,7.6,9.8,31,28.2,1583,121
09/08/15,15:00,37,24,10.3,1007.6,679,43,7,10.1,42.6,27.9,1326,96
09/08/15,16:00,40.8,13,6.6,1007.3,532,2,4.2,10.1,40.2,27.9,998,68
09/08/15,17:00,41.7,9,5.1,1007.3,341,348,4.3,9.7,32,27.8,611,37
09/08/15,18:00,40.8,10,5.5,1007.5,94,352,4.6,10.6,19.6,27.7,182,12
09/08/15,19:00,39.2,13,6.5,1008.2,4,347,5.7,13.4,5.1,27.6,14,1
09/08/15,20:00,37.7,14,6.4,1009,0,338,5,10.7,-6.7,27.6,0,0
09/08/15,21:00,37,13,5.8,1010,0,2,4.3,8.8,-12.3,27.5,0,0
09/08/15,22:00,36.2,15,6.4,1010.4,0,7,4,7.4,-9.9,27.5,0,0
09/08/15,23:00,34.9,19,7.6,1010.7,0,349,3.1,6.9,-2.7,27.5,0,0
09/08/15,24:00,33.9,22,8.3,1010.6,0,352,3,6.3,9,27.4,0,0
10/08/15,01:00,33.2,23,8.4,1010.3,0,4,2.7,4.7,22.1,27.4,0,0
10/08/15,02:00,32.8,25,8.6,1010,0,344,2.7,5.3,34.3,27.5,0,0
10/08/15,03:00,30.8,35,10.9,1010,0,18,2.7,4.8,43.2,27.5,0,0
10/08/15,04:00,29.4,36,10.6,1010.2,0,28,2.2,4.5,45.3,27.5,0,0
10/08/15,05:00,28.7,45,12.7,1010.3,0,33,1.8,3.4,38.8,27.5,0,0
10/08/15,06:00,28.1,49,13.4,1010.7,29,48,1.5,3.7,26.6,27.5,79,4
10/08/15,07:00,28.5,45,12.6,1010.9,155,44,2.4,4.2,11.8,27.5,391,19
10/08/15,08:00,29.6,44,13,1010.9,413,45,3.9,6.6,-3.1,27.5,806,46
10/08/15,09:00,30.7,39,12.2,1010.9,647,48,5.7,7,-14.8,27.6,1188,76
10/08/15,10:00,32.2,31,10.7,1010.6,797,52,6.7,8.6,-20.6,27.7,1488,103
10/08/15,11:00,33.3,27,9.9,1010.3,876,48,7.2,9.3,-18.1,27.8,1688,127
10/08/15,12:00,34.6,24,9.3,1009.7,893,46,7.3,9.4,-9.3,27.9,1766,139
10/08/15,13:00,34.8,26,10.1,1009.1,860,47,7.6,10.1,3.7,28.2,1736,138
10/08/15,14:00,35.4,25,10,1008.4,797,45,7,9.5,17.4,28.3,1592,122
10/08/15,15:00,36.3,23,9.7,1007.7,680,46,6.9,9.1,31,28.2,1323,96
10/08/15,16:00,37.2,21,9.2,1007.3,520,43,5.6,7.6,39.7,28,976,66
10/08/15,17:00,39.1,16,7.7,1007.2,322,23,5.1,10.2,38.9,28.1,583,35
10/08/15,18:00,40,13,6.7,1007.6,89,349,4.9,10.5,30.6,28,174,11
10/08/15,19:00,38.9,15,7.2,1008.3,4,345,5,11.3,16.7,27.9,13,1
10/08/15,20:00,37.9,15,7,1009.1,0,355,4.7,10.3,1.2,27.9,0,0
10/08/15,21:00,37.3,16,7,1009.8,0,352,3.4,7.1,-9.7,27.9,0,0
10/08/15,22:00,36.4,17,7.1,1010.2,0,338,3,5.7,-15.6,27.8,0,0
10/08/15,23:00,34.2,24,8.9,1010.1,0,10,1.3,3.8,-15.5,27.8,0,0
10/08/15,24:00,32.8,30,10.7,1010.1,0,33,1.5,2.7,-7.6,27.8,0,0
11/08/15,01:00,30.3,45,13.9,1010,0,38,1.5,2.8,4.7,27.8,0,0
11/08/15,02:00,30.5,35,10.8,1009.9,0,21,1.6,2.9,17.4,27.8,0,0
11/08/15,03:00,30.8,29,9.2,1009.8,0,30,2.2,3.1,29.7,27.7,0,0
11/08/15,04:00,29.8,37,11,1009.9,0,37,2.6,4.1,40.6,27.7,0,0
11/08/15,05:00,30.3,36,11.1,1010.1,0,44,3.5,5,44,27.7,0,0
11/08/15,06:00,29.9,39,11.7,1010.5,29,53,4.6,6.3,38,27.6,79,4
11/08/15,07:00,28.9,50,14.1,1011,156,43,3.7,5.2,25.9,27.6,396,19
11/08/15,08:00,29.5,47,13.8,1011.1,400,38,5.1,8.1,10.9,27.7,788,45
11/08/15,09:00,30.4,43,13.2,1010.9,629,44,6.2,7.6,-5.5,27.7,1166,74
11/08/15,10:00,31.4,38,12.6,1010.9,782,54,5.5,7.2,-18.6,27.8,1473,101
11/08/15,11:00,32.3,36,12.2,1010.6,858,66,3.8,5.7,-24.4,27.8,1669,124
11/08/15,12:00,33,34,11.9,1009.9,880,72,2.1,3.4,-22.6,28.1,1753,136
11/08/15,13:00,35.3,24,9.8,1009.1,842,72,1.6,3.5,-19.9,28.9,1717,135
11/08/15,14:00,36.4,25,10.7,1008.2,776,57,4,7.8,-2.2,28.5,1565,118
11/08/15,15:00,36.9,24,10.6,1007.5,666,46,6.5,9.7,12.9,29.1,1306,94
11/08/15,16:00,37.6,23,10.4,1007.2,506,38,4.9,9.6,24.7,29.5,959,64
11/08/15,17:00,41.3,13,7.1,1007.5,310,357,4.5,9.7,33.2,29.3,566,34
11/08/15,18:00,40.4,14,7.3,1007.9,87,353,4.9,8.9,34.9,29,171,11
11/08/15,19:00,39.4,16,8.1,1008.4,3,346,4.2,10,27.7,28.7,12,1
11/08/15,20:00,38.3,20,9.3,1009.1,0,347,4.7,11,15.5,28.5,0,0
11/08/15,21:00,37.4,22,9.8,1010,0,356,4.4,10.4,.6,28.4,0,0
11/08/15,22:00,35.9,23,9.6,1010.6,0,18,5.7,9.4,-11.7,28.2,0,0
11/08/15,23:00,35.4,23,9.4,1010.8,0,8,3.7,7.2,-17.8,28.2,0,0
11/08/15,24:00,34.7,25,9.6,1010.8,0,9,2.3,4.6,-16.7,28.1,0,0
12/08/15,01:00,34.7,24,9.3,1010.5,0,357,2.3,4,-8.4,28.1,0,0
12/08/15,02:00,34.2,25,9.3,1010.4,0,343,2.3,4.5,4.3,28,0,0
12/08/15,03:00,33,30,10.4,1010.5,0,12,2.7,5,19.9,28,0,0
12/08/15,04:00,31.5,33,10.9,1010.7,0,28,3.8,5.6,34.2,28,0,0
12/08/15,05:00,30,46,13.9,1010.9,0,46,5.2,8,43.6,27.9,0,0
12/08/15,06:00,28.5,60,16.6,1011.3,27,58,7.3,8.9,45.5,27.9,70,4
12/08/15,07:00,28.4,62,17.1,1011.9,149,44,6.5,8.2,38.1,27.9,373,18
12/08/15,08:00,28.8,60,17.1,1012,388,44,6.5,8.4,24.5,27.9,772,43
12/08/15,09:00,29.6,56,16.4,1012,616,46,6.6,8.2,8,27.9,1152,72
12/08/15,10:00,30.5,49,15.3,1011.8,771,50,6,7.6,-8.6,28,1468,101
12/08/15,11:00,32,40,13.2,1011.3,852,54,4.6,6.1,-21.5,28.1,1671,124
12/08/15,12:00,33.2,35,12.5,1010.6,877,56,4.7,6.4,-27.9,28.2,1759,137
12/08/15,13:00,33.5,35,12.7,1009.6,844,61,4,6.2,-22.1,28.5,1727,137
12/08/15,14:00,34.8,31,12,1008.6,778,57,3.6,6.4,-9.8,28.7,1578,120
12/08/15,15:00,37.2,22,9.5,1007.8,673,166,2.6,10.3,5.7,28.9,1325,97
12/08/15,16:00,40,14,6.9,1007.3,520,300,2.7,8.8,22.3,28.9,984,67
12/08/15,17:00,39.8,14,6.9,1007,327,340,3.1,11,37.5,28.7,594,36
12/08/15,18:00,39,14,6.7,1006.8,87,4,3.9,7.8,44.6,28.7,172,12
12/08/15,19:00,38.2,13,6.2,1007.1,3,2,3.8,7.8,41.5,28.6,12,1
12/08/15,20:00,37.8,14,6.2,1007.5,0,338,3.6,7.2,31.1,28.3,0,0
12/08/15,21:00,36.7,18,7.9,1008.1,0,346,3.5,7.2,16.2,28.2,0,0
12/08/15,22:00,35,24,9.3,1008.7,0,3,4.4,8.9,.5,28.2,0,0
